sim_id,f1_2008,f2_2020,f3_2022,f4_terminal,f5_annual_worst,dollar_ret_1p,dollar_ret_6p,dollar_ret_13p,dollar_ret_26p,avg_eps_1q,avg_eps_2q,avg_eps_4q,avg_eps_8q
5730244121,451646.9144897461,47934.57868099213,0.0,1433229.131427288,-0.021596634442537233,0.605817178,0.853768867,0.77731418,0.592795581,0.03851641000000002,0.016374981000000004,0.066315467,0.218265828
3413510624,344798.4494228363,47561.47844028473,0.0,1442195.0301017761,-0.021571660922430902,0.606133251,0.854512272,0.777193462,0.592527453,0.038532790000000025,0.017455727000000004,0.066363331,0.21390897900000003
926109482,380212.27192497253,46963.32099723816,0.0,1490535.8270711899,-0.021452659970947918,0.673295667,0.809928061,0.816027386,0.597137324,8.326672684688674e-17,0.019366325000000007,0.051271311000000014,0.07455887800000009
5725898402,305414.0205283165,46984.32099723816,0.0,1367665.3001980782,-0.021454677072584194,0.658383127,0.818508638,0.8019744,0.591863119,0.023029223000000064,0.007049877999999999,0.07385351000000001,0.03489125900000009
9926299163,356644.6278181076,47276.720724105835,0.0,1433930.8171315193,-0.02148256582427499,0.605704566,0.853063728,0.778184128,0.592337841,0.073396321,0.008584496,0.076387867,0.184146432
200566255,298872.1039676666,47705.585671424866,0.0,1408578.575932026,-0.021680653285369722,0.605778011,0.853770095,0.776735214,0.592882492,0.04700030800000002,0.020785584000000003,0.07726045699999999,0.23486274
4855384888,415755.7597222328,48297.39448738098,0.0,1522439.5790109634,-0.021532057871604504,0.63853437,0.823627222,0.88313276,0.60124492,0.008409472000000057,0.017243191000000005,0.067022432,0.15137841300000004
4508493559,429295.876727581,47986.28023433685,0.0,1496179.029302597,-0.021543331547228428,0.639802113,0.822984482,0.883005232,0.601163846,8.326672684688674e-17,0.019376118000000005,0.064097744,0.15928405500000006
9181911795,433171.9686937332,48030.80161190033,0.0,1429970.3390078545,-0.021566033815954344,0.603845735,0.844351773,0.785468346,0.598226189,0.06562864700000001,0.0,0.079219682,0.24606508299999996
9117107561,375779.5205259323,47703.52921295166,0.0,1389934.2655024529,-0.021570110399699804,0.612648654,0.856283294,0.786172723,0.593085695,0.04442195700000002,0.014993352000000003,0.068268359,0.21168604200000002
7003313996,542753.2049460411,47337.119482040405,0.0,1396561.9929542542,-0.021493303293605548,0.602989925,0.852260017,0.772204278,0.592727419,0.074632486,0.007981567999999998,0.077293352,0.185684464
9489866999,281655.16004037857,46993.144536972046,0.0,1432799.5269818306,-0.021496081814161738,0.606114909,0.852601322,0.777648404,0.592671591,0.047107255000000015,0.028058996000000003,0.07269820099999999,0.18779458400000001
335083020,477077.8007464409,47723.529938697815,0.0,1430564.7983608246,-0.021595121678883444,0.606006428,0.85389632,0.777048238,0.59290535,0.04246811200000002,0.015484987000000004,0.067587823,0.213541412
1083753636,450497.8711323738,46963.32099723816,0.0,1419644.7908143997,-0.0214915227388891,0.606045468,0.85387626,0.777044636,0.592902617,0.073552447,0.008339169,0.076758326,0.186904916
4559137201,352379.15219783783,46984.32099723816,0.0,1460230.4617066383,-0.021527897679544883,0.668950108,0.819936865,0.811636902,0.589037343,5.551115123125783e-17,0.02687999700000001,0.02863904400000001,0.10246275800000014
284702863,443621.27986335754,47698.449999809265,0.0,1441057.0403838158,-0.021587953610645805,0.596961283,0.850070891,0.785675551,0.597768155,0.05147674900000003,0.0,0.091330509,0.24833147599999994
3044217772,211036.54070568085,46984.32099723816,0.0,1444849.4863963127,-0.02135358468614379,0.66905741,0.81990931,0.811609379,0.589005884,0.056808719000000035,0.006478085000000003,0.05193153400000003,0.05799947200000011
527803209,506391.6349463463,48015.409417152405,0.0,1448522.5881052017,-0.02159418002103175,0.605558177,0.854043496,0.776889113,0.592893868,0.04001204900000002,0.017618780000000004,0.065120142,0.21535518200000003
7091052130,462421.6962943077,47645.47844028473,0.0,1429737.9604415894,-0.021680136983627918,0.604763184,0.853209273,0.77534501,0.592780846,0.03753477600000002,0.017461028000000003,0.064231397,0.220818489
6285581162,465424.55423021317,44866.452176094055,0.0,1409890.8448166847,-0.02159029318624539,0.606034887,0.853903434,0.777021536,0.592915376,0.04550386600000002,0.016173064000000004,0.065332952,0.21603051
2999765029,438389.93420267105,47698.449999809265,0.0,1414886.6478643417,-0.021559993225230834,0.604146444,0.844508912,0.785915762,0.598280369,0.04369273700000002,0.0048808370000000025,0.072925246,0.278735116
9239595998,484570.0612668991,47744.529938697815,0.0,1421354.5607352257,-0.02159780937347644,0.606026093,0.853884315,0.777600478,0.592816487,0.04309712300000002,0.015213156000000004,0.06790857,0.21395955500000002
144104954,377830.6616282463,48900.13808822632,0.0,1503098.4729309082,-0.02153137605641331,0.640950856,0.823619285,0.884579472,0.601278802,5.551115123125783e-17,0.019821454000000002,0.06272851,0.16085817200000005
4675958068,282770.61388635635,47033.1067943573,0.0,1424611.607720852,-0.021473097084421022,0.663609879,0.823507804,0.811827888,0.588689899,0.027704320000000046,0.0,0.07344220100000003,0.0317484380000001
4863291275,388028.783973217,47710.15709400177,0.0,1419344.2189235687,-0.021610586382874275,0.60712709,0.852601989,0.785071542,0.597666285,0.043588159000000015,0.019589832000000005,0.071706032,0.234751587
8959190976,401878.9322977066,47914.21199512482,0.0,1492838.7364330292,-0.02152688889856036,0.640583363,0.823541564,0.883122886,0.601069002,8.326672684688674e-17,0.019236233000000002,0.064305193,0.15875339100000005
2563853049,479805.5019555092,47591.471172332764,0.0,1418146.6819095612,-0.021760100098888624,0.61296417,0.85219645,0.779624343,0.592752768,0.05194695400000001,0.013450843000000007,0.055875251,0.253932647
9083096620,493254.3386859894,47276.720724105835,0.0,1409505.7422337532,-0.02152361495506372,0.605545522,0.854036167,0.776871305,0.59289255,0.072066847,0.007794166999999998,0.077876088,0.186445961
2215703639,459812.72648763657,47723.529938697815,0.0,1430667.742471695,-0.021592279821987415,0.605395613,0.853896777,0.777038592,0.593007788,0.078218141,0.0004747270000000012,0.07809948200000001,0.20736838199999996
